Address,postalCode,Property type,Post town name,County area name,Region name,UPRN,Amount,Amount per week,Price actual,Price max,Price min,Number of rooms,Number of Bath,Reception,Square foot,EPC Rating,Nearby Stations,Nearby Schools,Longitude,Latitude,Council tax ,Listing URL,LODGEMENT_ID,POSTCODE,BUILDING_ID,CURRENT_ENER_RATING,POTENTIAL_ENER_RATING,CURRENT_ENER_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,PROPERTY_TYPE,BUILT_FORM,INSPECTION_DATE,LAD_CD,COUNTY,LODGEMENT_DATE,TRANSACTION_TYPE,ENV_IMP_CURR,ENV_IMP_POTENT,ENERGY_CONSUM_CURR,ENERGY_CONSUM_POTEN,CO2_EMISS_CURR,CO2_EMISS_CURR_PER_FLOOR,CO2_EMISS_POTENT,SQM_TOTAL,ENERGY_TARIFF,FLOOR_LEVEL,GLAZED_TYPE,ROOMS_HABITABLE,LOW_ENERGY_LIGHTING,FIREPLACES_OPEN,FLOOR_DESCRIPTION,FLOOR_ENERGY_EFF,FLOOR_ENV_EFF,WINDOWS_DESCRIPTION,WINDOWS_ENERGY_EFF,WINDOWS_ENV_EFF,WALLS_DESCRIPTION,WALLS_ENERGY_EFF,WALLS_ENV_EFF,ROOF_DESCRIPTION,ROOF_ENERGY_EFF,ROOF_ENV_EFF,MAINHEAT_DESCRIPTION,MAINHEAT_ENERGY_EFF,MAINHEAT_ENV_EFF,MAINHEATCONT_DESCRIPTION,MAINHEATC_ENERGY_EFF,MAINHEATC_ENV_EFF,LIGHTING_DESCRIPTION,LIGHTING_ENERGY_EFF,LIGHTING_ENV_EFF,HEAT_LOSS_CORRIDOR,PHOTO_SUPPLY,SOLAR_WATER_HEATING_FLAG,MECHANICAL_VENTILATION,ADDRESS,LAD_NM,POSTTOWN,CONSTRUCTION_AGE,TENURE,UPRN_SOURCE,Source Folder
"Harold Place, Hyde Park, Leeds LS6",LS6 1PQ,terraced,Leeds,West Yorkshire,Yorkshire and The Humber,72090322,442,102,442,500,400,2,1,,,D,"Burley Park
0.4 miles, Headingley
1.1 miles, Leeds
1.4 miles, Kirkstall Forge
2.2 miles","Brudenell Primary School
0.4 miles, Burley St Matthias Church of England Voluntary Controlled Primary School
0.4 miles, Rosebank Primary School
0.4 miles, Kirkstall Valley Primary School
0.6 miles",-1.571971,53.808602,,https://www.zoopla.co.uk/to-rent/details/53909149/,1.38E+33,LS6 1PQ,9637289378,D,B,55,84,House,Enclosed Mid-Terrace,15/10/2015,E08000035,,42293,rental (private),49,83,404,132,4,71,1.3,56,Unknown,NODATA!,not defined,3,50,0,"To unheated space, no insulation (assumed)",NO DATA!,,Single glazed,Very Poor,Very Poor,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 50% of fixed outlets,Good,Good,NO DATA!,,N,natural,"55, Harold Place",Leeds,LEEDS,England and Wales: 1900-1929,rental (private),Address Matched,domestic-E08000035-Leeds
"Carr House Road, Doncaster DN4",DN4 5AP,studio,Doncaster,South Yorkshire,Yorkshire and The Humber,1.00E+11,520,120,520,600,500,1,1,,,C,"Doncaster
0.8 miles, Bentley (South Yorkshire)
2.2 miles, Kirk Sandall
3.7 miles, Adwick
4.6 miles","XP School
0.3 miles, XP East
0.4 miles, Hall Cross Academy
0.4 miles, Doncaster UTC
0.5 miles",-1.121478,53.516845,,https://www.zoopla.co.uk/to-rent/details/61020692/,1.22E+33,DN4 5AP,310298278,E,B,51,83,House,End-Terrace,14/10/2014,E08000017,,41927,marketed sale,45,82,312,96,6.5,60,2,107,Single,NODATA!,double glazing installed before 2002,6,80,0,"Solid, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Average,Average,Low energy lighting in 80% of fixed outlets,Very Good,Very Good,NO DATA!,0,,natural,"162, Carr House Road",Doncaster,DONCASTER,England and Wales: 1930-1949,owner-occupied,Address Matched,domestic-E08000017-Doncaster
"Carr House Road, Doncaster DN4",DN4 5AP,studio,Doncaster,South Yorkshire,Yorkshire and The Humber,1.00E+11,520,120,520,600,500,1,1,,,C,"Doncaster
0.8 miles, Bentley (South Yorkshire)
2.2 miles, Kirk Sandall
3.7 miles, Adwick
4.6 miles","XP School
0.3 miles, XP East
0.4 miles, Hall Cross Academy
0.4 miles, Doncaster UTC
0.5 miles",-1.121478,53.516845,,https://www.zoopla.co.uk/to-rent/details/61020692/,1.22E+33,DN4 5AP,310298278,C,B,71,87,House,End-Terrace,03/11/2015,E08000017,,42311,rental (private),67,85,195,86,3.7,34,1.7,107,Single,NODATA!,double glazing installed before 2002,6,80,0,"Solid, no insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, TRVs and bypass",Average,Average,Low energy lighting in 80% of fixed outlets,Very Good,Very Good,NO DATA!,,N,natural,"162, Carr House Road",Doncaster,DONCASTER,England and Wales: 1930-1949,rental (private),Address Matched,domestic-E08000017-Doncaster
"Alliance Avenue, Hull HU3",HU3 6QX,studio,Hull,East Riding of Yorkshire,Yorkshire and The Humber,21123638,380,87.69,380,400,300,1,1,355,,C,"Hull
1.4 miles, Cottingham
2.7 miles, New Holland
3.2 miles, Hessle
3.2 miles","Paisley Primary School
0.2 miles, Wheeler Primary School
0.4 miles, St George's Primary School
0.4 miles, The Boulevard Academy
0.5 miles",-0.380865,53.746013,,https://www.zoopla.co.uk/to-rent/details/67152696/,1.08E+33,HU3 6QX,6640198178,E,C,53,72,Flat,Mid-Terrace,05/05/2017,E06000010,,42860,rental (private),38,64,669,355,3.7,113,2,33,dual,Ground,"double glazing, unknown install date",1,100,0,"Suspended, no insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Poor,Poor,(another dwelling above),,,Electric storage heaters,Average,Very Poor,Manual charge control,Poor,Poor,Low energy lighting in all fixed outlets,Very Good,Very Good,unheated corridor,,N,natural,"Flat 1, 42, Alliance Avenue","Kingston upon Hull, City of",HULL,England and Wales: 1930-1949,rental (private),Address Matched,domestic-E06000010-Kingston-upon-Hull-City-of
"Alliance Avenue, Hull HU3",HU3 6QX,studio,Hull,East Riding of Yorkshire,Yorkshire and The Humber,21123638,380,87.69,380,400,300,1,1,355,,C,"Hull
1.4 miles, Cottingham
2.7 miles, New Holland
3.2 miles, Hessle
3.2 miles","Paisley Primary School
0.2 miles, Wheeler Primary School
0.4 miles, St George's Primary School
0.4 miles, The Boulevard Academy
0.5 miles",-0.380865,53.746013,,https://www.zoopla.co.uk/to-rent/details/67152696/,1.08E+33,HU3 6QX,6640198178,E,C,40,71,Flat,Mid-Terrace,13/04/2016,E06000010,,42473,rental (private),42,62,607,372,3.4,103,2.1,33,dual,Ground,"double glazing, unknown install date",1,0,0,"Suspended, no insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Poor,Poor,(another dwelling above),,,"Room heaters, electric",Very Poor,Poor,No thermostatic control of room temperature,Poor,Poor,No low energy lighting,Very Poor,Very Poor,unheated corridor,,N,natural,"Flat 1, 42, Alliance Avenue","Kingston upon Hull, City of",HULL,England and Wales: 1900-1929,rental (private),Address Matched,domestic-E06000010-Kingston-upon-Hull-City-of
"Alliance Avenue, Hull HU3",HU3 6QX,studio,Hull,East Riding of Yorkshire,Yorkshire and The Humber,21123638,380,87.69,380,400,300,1,1,355,,C,"Hull
1.4 miles, Cottingham
2.7 miles, New Holland
3.2 miles, Hessle
3.2 miles","Paisley Primary School
0.2 miles, Wheeler Primary School
0.4 miles, St George's Primary School
0.4 miles, The Boulevard Academy
0.5 miles",-0.380865,53.746013,,https://www.zoopla.co.uk/to-rent/details/67152696/,1.08E+33,HU3 6QX,6640198178,E,C,50,73,Flat,Mid-Terrace,27/08/2020,E06000010,,44075,ECO assessment,55,65,390,303,2.7,66,2.1,41,Unknown,Ground,"double glazing, unknown install date",1,100,0,"Solid, no insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,(another dwelling above),,,"Room heaters, electric",Very Poor,Poor,Programmer and appliance thermostats,Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,heated corridor,,N,natural,"Flat 1, 42, Alliance Avenue","Kingston upon Hull, City of",HULL,England and Wales: 1967-1975,rental (private),Address Matched,domestic-E06000010-Kingston-upon-Hull-City-of
"Alliance Avenue, Hull HU3",HU3 6QX,studio,Hull,East Riding of Yorkshire,Yorkshire and The Humber,21123638,380,87.69,380,400,300,1,1,355,,C,"Hull
1.4 miles, Cottingham
2.7 miles, New Holland
3.2 miles, Hessle
3.2 miles","Paisley Primary School
0.2 miles, Wheeler Primary School
0.4 miles, St George's Primary School
0.4 miles, The Boulevard Academy
0.5 miles",-0.380865,53.746013,,https://www.zoopla.co.uk/to-rent/details/67152696/,bfdaa6f4788fe96d77d0368c66f0437b0d55758067e331204775e2ce3e194763,HU3 6QX,10000793130,C,C,69,75,Flat,Mid-Terrace,18/02/2021,E06000010,,44245,rental,57,70,419,299,2.3,71,1.7,33,standard tariff,0,double glazing installed during or after 2002,2,100,0,"Suspended, no insulation (assumed)",,,Fully double glazed,Good,Good,"Solid brick, with internal insulation",Very Good,Very Good,(another dwelling above),,,Electric storage heaters,Average,Poor,Controls for high heat retention storage heaters,Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,unheated corridor,0,N,natural,"FLAT 1, 42 ALLIANCE AVENUE, KINGSTON UPON HULL","Kingston upon Hull, City of",KINGSTON UPON HULL,England and Wales: 1930-1949,Rented (private),Energy Assessor,domestic-E06000010-Kingston-upon-Hull-City-of
"Collingbourne Drive, Sothall, Sheffield S20",S20 2QS,detached,Sheffield,South Yorkshire,Yorkshire and The Humber,1.00E+11,1250,288.46,1250,1250,1250,3,1,1,,D,"Woodhouse
2.1 miles, Kiveton Bridge
3 miles, Kiveton Park
4.1 miles, Darnall
4.3 miles","Westfield School
0.1 miles, Shortbrook Primary School
0.5 miles, Waterthorpe Infant School
0.5 miles, Emmanuel Anglican/Methodist Junior School
0.6 miles",-1.339441,53.335814,,https://www.zoopla.co.uk/to-rent/details/55451413/,1.52E+33,S20 2QS,3294289478,D,B,57,81,House,Detached,22/02/2017,E08000019,,42788,marketed sale,53,80,325,134,4,57,1.7,70,Single,NODATA!,"double glazing, unknown install date",4,62,0,"Suspended, no insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Cavity wall, as built, insulated (assumed)",Good,Good,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Average,Average,Low energy lighting in 62% of fixed outlets,Good,Good,NO DATA!,,N,natural,"1, Collingbourne Drive, Sothall",Sheffield,SHEFFIELD,England and Wales: 1983-1990,owner-occupied,Address Matched,domestic-E08000019-Sheffield
"Towchester Drive, Castleford WF10",WF10 5ZG,detached,Castleford,West Yorkshire,Yorkshire and The Humber,63204804,1600,369.23,1600,1750,1500,4,2,1,,B,"Castleford
0.7 miles, Glasshoughton
1.1 miles, Pontefract Tanshelf
2.5 miles, Normanton
2.6 miles","Ackton Pastures Primary Academy
0.3 miles, Half Acres Primary Academy
0.4 miles, Castleford Three Lane Ends Academy
0.7 miles, Smawthorne Henry Moore Primary School, Castleford
0.7 miles",-1.366745281,53.71647516,,https://www.zoopla.co.uk/to-rent/details/69524809/,b27539176c280f06359c3656227c7dc64561b7957e5a58680d35291bd5d8bf76,WF10 5ZG,10003289138,B,A,84,93,House,Detached,26/07/2022,E08000036,,44768,new dwelling,85,94,85,33,1.8,15,0.7,121,standard tariff,,,,100,0,Average thermal transmittance 0.16 W/m-Â¦K,Very Good,Very Good,High performance glazing,Very Good,Very Good,Average thermal transmittance 0.24 W/m-Â¦K,Very Good,Very Good,Average thermal transmittance 0.12 W/m-Â¦K,Very Good,Very Good,"Boiler and radiators, mains gas",Good,Good,Time and temperature zone control,Very Good,Very Good,Low energy lighting in all fixed outlets,Very Good,Very Good,,,,,6 Towchester Drive,Wakefield,CASTLEFORD,2020,Not defined - use in the case of a new dwelling for which the intended tenure in not known. It is not to be used for an existing dwelling,Energy Assessor,domestic-E08000036-Wakefield
"City Point, Solly Street, Sheffield S1",S1 4BX,flat,Sheffield,South Yorkshire,Yorkshire and The Humber,10013163250,1050,242.31,1050,1250,1000,2,1,1,,B,"Sheffield
0.6 miles, Darnall
2.6 miles, Meadowhall
3.3 miles, Dore & Totley
4.3 miles","Netherthorpe Primary School
0.4 miles, Bethany School
0.5 miles, Springfield Primary School
0.6 miles, Astrea Academy Sheffield
0.6 miles",-1.472767,53.38468,,https://www.zoopla.co.uk/to-rent/details/69527580/,4.99E+32,S1 4BX,9727496768,B,B,84,84,Flat,Mid-Terrace,28/02/2011,E08000019,,40602,marketed sale,78,78,221,221,1.4,33,1.4,41.7,Unknown,4th,"double glazing, unknown install date",3,100,0,(other premises below),,,Fully double glazed,Average,Average,"System built, as built, insulated (assumed)",Good,Good,(another dwelling above),,,Electric storage heaters,Poor,Very Poor,Manual charge control,Poor,Poor,Low energy lighting in all fixed outlets,Very Good,Very Good,heated corridor,0,N,natural,"Apartment 112 City Point, 1, Solly Street",Sheffield,SHEFFIELD,England and Wales: 1983-1990,owner-occupied,Address Matched,domestic-E08000019-Sheffield
"City Point, Solly Street, Sheffield S1",S1 4BX,flat,Sheffield,South Yorkshire,Yorkshire and The Humber,10013163250,1050,242.31,1050,1250,1000,2,1,1,,B,"Sheffield
0.6 miles, Darnall
2.6 miles, Meadowhall
3.3 miles, Dore & Totley
4.3 miles","Netherthorpe Primary School
0.4 miles, Bethany School
0.5 miles, Springfield Primary School
0.6 miles, Astrea Academy Sheffield
0.6 miles",-1.472767,53.38468,,https://www.zoopla.co.uk/to-rent/details/69527580/,4.99E+32,S1 4BX,9727496768,C,B,79,85,Flat,Detached,14/06/2010,E08000019,,40343,rental (private),79,79,191,188,1.6,29,1.6,55.198,Unknown,7th,double glazing installed during or after 2002,3,37,0,(other premises below),,,Fully double glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Good,Good,(another dwelling above),,,"Room heaters, electric",Very Poor,Poor,Programmer and appliance thermostats,Good,Good,Low energy lighting in 37% of fixed outlets,Average,Average,heated corridor,0,N,natural,"Apartment 112 City Point, 1, Solly Street",Sheffield,SHEFFIELD,England and Wales: 2003-2006,rental (private),Address Matched,domestic-E08000019-Sheffield
"City Point, Solly Street, Sheffield S1",S1 4BX,flat,Sheffield,South Yorkshire,Yorkshire and The Humber,10013163250,1050,242.31,1050,1250,1000,2,1,1,,B,"Sheffield
0.6 miles, Darnall
2.6 miles, Meadowhall
3.3 miles, Dore & Totley
4.3 miles","Netherthorpe Primary School
0.4 miles, Bethany School
0.5 miles, Springfield Primary School
0.6 miles, Astrea Academy Sheffield
0.6 miles",-1.472767,53.38468,,https://www.zoopla.co.uk/to-rent/details/69527580/,3f28b37a4209bf11e6586bb27da8440eedc4ee1e22acfd4769ef09a55f25eb68,S1 4BX,10003676002,B,B,83,86,Flat,Enclosed Mid-Terrace,01/11/2022,E08000019,,44868,rental,80,80,160,161,1.5,27,1.5,55,Unknown,8,double glazing installed during or after 2002,3,80,0,(another dwelling below),,,Fully double glazed,Good,Good,"System built, as built, insulated (assumed)",Good,Good,(another dwelling above),,,"Room heaters, electric",Very Poor,Poor,Programmer and appliance thermostats,Good,Good,Low energy lighting in 80% of fixed outlets,Very Good,Very Good,heated corridor,0,N,natural,"Apartment 112, City Point, 1 Solly Street",Sheffield,SHEFFIELD,England and Wales: 2007-2011,Rented (private),Energy Assessor,domestic-E08000019-Sheffield
"Collingbourne Drive, Sothall, Sheffield S20",S20 2QS,detached,Sheffield,South Yorkshire,Yorkshire and The Humber,1.00E+11,1250,288.46,1250,1250,1250,3,1,1,,D,"Woodhouse
2.1 miles, Kiveton Bridge
3 miles, Kiveton Park
4.1 miles, Darnall
4.3 miles","Westfield School
0.1 miles, Shortbrook Primary School
0.5 miles, Waterthorpe Infant School
0.5 miles, Emmanuel Anglican/Methodist Junior School
0.6 miles",-1.339441,53.335814,,https://www.zoopla.co.uk/to-rent/details/55451413/,1.52E+33,S20 2QS,3294289478,D,B,57,81,House,Detached,22/02/2017,E08000019,,42788,marketed sale,53,80,325,134,4,57,1.7,70,Single,NODATA!,"double glazing, unknown install date",4,62,0,"Suspended, no insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Cavity wall, as built, insulated (assumed)",Good,Good,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Average,Average,Low energy lighting in 62% of fixed outlets,Good,Good,NO DATA!,,N,natural,"1, Collingbourne Drive, Sothall",Sheffield,SHEFFIELD,England and Wales: 1983-1990,owner-occupied,Address Matched,domestic-E08000019-Sheffield
"Woodland View, Scunthorpe DN15",DN15 8BA,semi_detached,Scunthorpe,North Lincolnshire,Yorkshire and The Humber,1.00E+11,925,213.46,925,1000,900,3,1,2,,E,"Scunthorpe
1.2 miles, Althorpe
2.2 miles, Crowle
5.6 miles, Kirton Lindsey
8.1 miles","Berkeley Primary School
0.2 miles, Saint Augustine Webster Catholic Voluntary Academy
0.4 miles, The St Lawrence Academy
0.6 miles, Oasis Academy Henderson Avenue
0.8 miles",-0.680349,53.590508,,https://www.zoopla.co.uk/to-rent/details/69535204/,1.35E+33,DN15 8BA,6219277378,E,B,45,83,House,Semi-Detached,21/07/2015,E06000013,,42206,marketed sale,38,80,415,122,7.4,73,2.2,101,Single,NODATA!,double glazing installed before 2002,5,17,0,"Suspended, no insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Pitched, 50 mm loft insulation",Poor,Poor,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Average,Average,Low energy lighting in 17% of fixed outlets,Poor,Poor,NO DATA!,,N,natural,"5, Woodland View",North Lincolnshire,SCUNTHORPE,England and Wales: 1930-1949,owner-occupied,Address Matched,domestic-E06000013-North-Lincolnshire
"Woodland View, Scunthorpe DN15",DN15 8BA,semi_detached,Scunthorpe,North Lincolnshire,Yorkshire and The Humber,1.00E+11,925,213.46,925,1000,900,3,1,2,,E,"Scunthorpe
1.2 miles, Althorpe
2.2 miles, Crowle
5.6 miles, Kirton Lindsey
8.1 miles","Berkeley Primary School
0.2 miles, Saint Augustine Webster Catholic Voluntary Academy
0.4 miles, The St Lawrence Academy
0.6 miles, Oasis Academy Henderson Avenue
0.8 miles",-0.680349,53.590508,,https://www.zoopla.co.uk/to-rent/details/69535204/,cdf75d2b45d639a83653d45fc53db823fe0b6e9375102b785471aa0c98a29fe7,DN15 8BA,10006948292,D,B,62,83,House,Semi-Detached,13/12/2024,E06000013,,45639,marketed sale,56,79,271,124,4.7,48,2.2,98,Single,,"double glazing, unknown install date",5,33,0,"Suspended, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Pitched, 50 mm loft insulation",Poor,Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 33% of fixed outlets,Average,Average,,0,N,natural,5 Woodland View,North Lincolnshire,SCUNTHORPE,England and Wales: 1930-1949,Owner-occupied,Energy Assessor,domestic-E06000013-North-Lincolnshire
"Eldon Street North, Barnsley S71",S71 1LG,flat,Barnsley,South Yorkshire,Yorkshire and The Humber,2007005072,600,138.46,600,600,600,2,1,1,,D,"Barnsley
0.1 miles, Dodworth
2.4 miles, Darton
3.1 miles, Wombwell
3.7 miles","Trinity Academy St. Edwards
0.2 miles, Queens Road Academy
0.3 miles, Barnsley College
0.4 miles, Burton Road Primary School
0.6 miles",-1.477409,53.55669,,https://www.zoopla.co.uk/to-rent/details/69534827/,57a3d3628889c523217f709d4e16966313a14a2f7b1a0730404358a822280724,S71 1LG,10000109813,D,D,55,68,Flat,End-Terrace,05/02/2021,E08000016,,44244,rental,48,66,402,256,3.8,71,2.4,54,off-peak 7 hour,1,"double glazing, unknown install date",4,100,0,(other premises below),,,Fully double glazed,Average,Average,"Sandstone or limestone, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,no corridor,0,N,natural,"16A ELDON STREET NORTH, BARNSLEY",Barnsley,BARNSLEY,England and Wales: 1900-1929,Rented (private),Energy Assessor,domestic-E08000016-Barnsley
"Rufus, Foundry Lane, Leeds LS14",LS14 6NA,flat,Leeds,West Yorkshire,Yorkshire and The Humber,72788422,1250,288.46,1250,1250,1250,2,2,1,357,D,"Cross Gates
0.8 miles, Leeds
3.4 miles, Garforth
3.6 miles, Woodlesford
3.7 miles","Seacroft Grange Primary School
0.3 miles, Cross Gates Primary School
0.3 miles, Parklands Primary School
0.3 miles, Leeds East Academy
0.5 miles",-1.467453,53.808948,,https://www.zoopla.co.uk/to-rent/details/69534770/,de936bd1585249c4fb73ff185647b8ea14b8ab426ac0d6e960a5da9f0cb8b8e8,LS14 6NA,10000754499,D,D,68,68,Flat,Mid-Terrace,24/02/2021,E08000035,,44251,new dwelling,71,71,224,224,2.8,38,2.8,74,standard tariff,2,,,100,0,Average thermal transmittance 0.19 W/m-Â¦K,Very Good,Very Good,High performance glazing,Very Good,Very Good,Average thermal transmittance 0.23 W/m-Â¦K,Very Good,Very Good,Average thermal transmittance 0.16 W/m-Â¦K,Good,Good,"Room heaters, electric",Very Poor,Poor,Programmer and appliance thermostats,Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,,,,,"FLAT 39, RUFUS COURT, FOUNDRY LANE",Leeds,LEEDS,,Not defined - use in the case of a new dwelling for which the intended tenure in not known. It is not to be used for an existing dwelling,Energy Assessor,domestic-E08000035-Leeds
"Rufus, Foundry Lane, Leeds LS14",LS14 6NA,flat,Leeds,West Yorkshire,Yorkshire and The Humber,72788422,1250,288.46,1250,1250,1250,2,2,1,357,D,"Cross Gates
0.8 miles, Leeds
3.4 miles, Garforth
3.6 miles, Woodlesford
3.7 miles","Seacroft Grange Primary School
0.3 miles, Cross Gates Primary School
0.3 miles, Parklands Primary School
0.3 miles, Leeds East Academy
0.5 miles",-1.467453,53.808948,,https://www.zoopla.co.uk/to-rent/details/69534770/,2e7b22eead26c8f84fbee09537400ffafa2cded14c7dc55dcf59795d6a5e1900,LS14 6NA,10000725353,D,D,68,68,Flat,Mid-Terrace,06/11/2020,E08000035,,44141,new dwelling,71,71,224,224,2.8,38,2.8,74,standard tariff,2,,,100,0,Average thermal transmittance 0.19 W/m-Â¦K,Very Good,Very Good,High performance glazing,Very Good,Very Good,Average thermal transmittance 0.23 W/m-Â¦K,Very Good,Very Good,Average thermal transmittance 0.16 W/m-Â¦K,Good,Good,"Room heaters, electric",Very Poor,Poor,Programmer and appliance thermostats,Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,,,,,"Apartment 39, Wykebeck Court, Foundry Lane",Leeds,Leeds,,Not defined - use in the case of a new dwelling for which the intended tenure in not known. It is not to be used for an existing dwelling,Address Matched,domestic-E08000035-Leeds
"Station Road, Luddendenfoot, Halifax, West Yorkshire HX2",HX2 6AD,flat,Halifax,West Yorkshire,Yorkshire and The Humber,1.00E+11,725,167.31,725,800,700,2,1,1,,B,"Mytholmroyd
1.6 miles, Sowerby Bridge
1.8 miles, Hebden Bridge
2.8 miles, Halifax
3.7 miles","Wood Bank School
0.4 miles, Luddenden CofE School
0.4 miles, Luddendenfoot Academy
0.5 miles, Brearley Hall School
0.7 miles",-1.945394,53.722025,,https://www.zoopla.co.uk/to-rent/details/68645543/,1.00E+33,HX2 6AD,4167753178,C,B,73,82,Flat,Mid-Terrace,10/01/2014,E08000033,,41649,rental (private),75,85,154,92,2.2,29,1.3,77,Single,1st,double glazing installed before 2002,4,21,0,(other premises below),,,Fully double glazed,Average,Average,"Sandstone, as built, no insulation (assumed)",Poor,Poor,(another dwelling above),,,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 21% of fixed outlets,Poor,Poor,unheated corridor,0,,natural,"3 Bridge Mills, Station Road, Luddendenfoot",Calderdale,HALIFAX,England and Wales: before 1900,rental (private),Address Matched,domestic-E08000033-Calderdale
"Station Road, Luddendenfoot, Halifax, West Yorkshire HX2",HX2 6AD,flat,Halifax,West Yorkshire,Yorkshire and The Humber,1.00E+11,725,167.31,725,800,700,2,1,1,,B,"Mytholmroyd
1.6 miles, Sowerby Bridge
1.8 miles, Hebden Bridge
2.8 miles, Halifax
3.7 miles","Wood Bank School
0.4 miles, Luddenden CofE School
0.4 miles, Luddendenfoot Academy
0.5 miles, Brearley Hall School
0.7 miles",-1.945394,53.722025,,https://www.zoopla.co.uk/to-rent/details/68645543/,c9d8ea542afabebf4cfc031e30afa8ffc39fccb8febf6d5cee3ea734f064d9a6,HX2 6AD,4167753178,B,B,81,82,Flat,Mid-Terrace,24/10/2024,E08000033,,45590,rental,84,84,125,121,1.5,22,1.5,69,Single,1,"double glazing, unknown install date",3,67,0,(another dwelling below),,,Fully double glazed,Average,Average,"Granite or whinstone, as built, insulated (assumed)",Good,Good,(another dwelling above),,,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 67% of fixed outlets,Good,Good,no corridor,0,N,natural,"3 Bridge Mills, Station Road, Luddendenfoot",Calderdale,HALIFAX,England and Wales: 1991-1995,Rented (private),Energy Assessor,domestic-E08000033-Calderdale
"Fitzalan Road, Handsworth, Sheffield S13",S13 9AW,flat,Sheffield,South Yorkshire,Yorkshire and The Humber,10094511780,900,207.69,900,900,900,2,2,1,,C,"Darnall
1.1 miles, Woodhouse
1.4 miles, Sheffield
3.1 miles, Meadowhall
3.2 miles","St Joseph's Primary School
0.08 miles, Ballifield Primary School
0.4 miles, Athelstan Primary School
0.5 miles, Handsworth Grange Community Sports College
0.6 miles",-1.386799,53.373001,,https://www.zoopla.co.uk/to-rent/details/56088098/,1.68E+33,S13 9AW,5182931678,C,C,78,78,Flat,Detached,09/11/2018,E08000019,,43871,marketed sale,80,80,146,146,1.5,25,1.5,62,off-peak 7 hour,top floor,NO DATA!,,100,0,Average thermal transmittance 0.19 W/m-Â¦K,Very Good,Very Good,High performance glazing,Very Good,Very Good,Average thermal transmittance 0.20 W/m-Â¦K,Very Good,Very Good,Average thermal transmittance 0.12 W/m-Â¦K,Very Good,Very Good,"Room heaters, electric",Very Poor,Poor,Programmer and appliance thermostats,Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,NO DATA!,,,NO DATA!,"Apartment 32 Parkview, 14, Fitzalan Road",Sheffield,SHEFFIELD,NO DATA!,owner-occupied,Address Matched,domestic-E08000019-Sheffield
